id,name,university_id,lat,lng,categories,status,owner_name,whatsapp,signed_date,weekly_orders,notes,last_visit
w001,Kios Pak Slamet,ui,-6.35879,106.82731,炒饭 Nasi Goreng,active,,,,40,,
w002,Kedai Cempaka,ui,-6.36298,106.83003,Nasi Padang,negotiating,,,,,,
w003,Toko Kelontong Bu Tini,ui,-6.359,106.82799,"炸物 Gorengan, Indomie 煮面",contacted,,,,,,
w004,Depot Bu Marwati,ui,-6.36114,106.82417,烤串 Sate,target,,,,,,
w005,Depot Pak Haji,ui,-6.36514,106.82708,"Indomie 煮面, 烤串 Sate",target,,,,,,
w006,Kios Bang Rizal,ui,-6.35896,106.82908,烤串 Sate,contacted,,,,,,
w007,Depot Cahaya,ui,-6.35975,106.8247,"Indomie 煮面, Warteg 家常菜",target,,,,,,
w008,Depot Barokah,ui,-6.363,106.83094,"炒饭 Nasi Goreng, 粥品",signed,,,,29,,
w009,Warteg Bu Rukiyah Cabang,ui,-6.36577,106.82304,"炸物 Gorengan, 椰浆饭 Nasi Uduk, 零食",target,,,,,,
w010,Toko Kelontong Teratai,ui,-6.36498,106.82591,炸物 Gorengan,target,,,,,,
w011,Warteg Bu Marwati,ui,-6.35911,106.82886,"Nasi Padang, 果汁 Jus",target,,,,,,
w012,Depot Mbak Nia,ui,-6.36478,106.8299,"Nasi Padang, 零食, 冰茶",target,,,,,,
w013,Kios Bu Lestari Cabang,ui,-6.3617,106.82496,"Nasi Padang, 冰茶",target,,,,,,
w014,Kedai Bu Endang,ui,-6.36325,106.82183,"烤串 Sate, 炒饭 Nasi Goreng, 零食",target,,,,,,
w015,Depot Bahagia Cabang,ui,-6.36673,106.82806,"炒饭 Nasi Goreng, Indomie 煮面, 炸物 Gorengan",negotiating,,,,,,
w016,Warung Kopi Bu Tini,ui,-6.36194,106.82603,"零食, 粥品, Nasi Padang",target,,,,,,
w017,Toko Kelontong Bahagia,ui,-6.36559,106.82912,"零食, 冰茶",contacted,,,,,,
w018,Kedai Kamboja,ui,-6.36051,106.82413,"零食, Nasi Padang",target,,,,,,
w019,Angkringan Bu Yuni,ui,-6.36001,106.82672,粥品,negotiating,,,,,,
w020,Warung Bu Ani,ui,-6.36524,106.82235,Nasi Padang,contacted,,,,,,
w021,Warung Bu Painem,ui,-6.36198,106.8283,"粥品, 咖啡",contacted,,,,,,
w022,Depot Pak Teguh,ui,-6.3598,106.82923,"冰茶, 咖啡",target,,,,,,
w023,Kedai Bang Jago,ui,-6.3634,106.82282,烤串 Sate,target,,,,,,
w024,Depot Bang Rizal,ui,-6.3661,106.82607,果汁 Jus,contacted,,,,,,
w025,Angkringan Bu Dewi,ui,-6.36274,106.82856,炒饭 Nasi Goreng,contacted,,,,,,
w026,Kios Bu Dewi,ui,-6.36293,106.82449,"零食, 烤串 Sate, 咖啡",target,,,,,,
w027,Warkop Bu Lestari,ui,-6.3627,106.82451,"粥品, 炸物 Gorengan",target,,,,,,
w028,Warung Kopi Bu Yati Cabang,ui,-6.36043,106.82301,"咖啡, Warteg 家常菜",signed,,,,45,,
w029,Warung Bu Rukiyah,gunadarma,-6.36176,106.84557,"炸物 Gorengan, 烤串 Sate, 果汁 Jus",target,,,,,,
w030,Angkringan Bu Wulan,gunadarma,-6.35322,106.83999,炒饭 Nasi Goreng,target,,,,,,
w031,Warteg Bu Dewi,gunadarma,-6.35325,106.84303,"Indomie 煮面, 冰茶, 烤串 Sate",target,,,,,,
w032,Warung Bu Wahyu,gunadarma,-6.35415,106.84365,"Nasi Padang, 粥品",target,,,,,,
w033,Kedai Mbak Sinta Cabang,gunadarma,-6.35717,106.84584,零食,target,,,,,,
w034,Warung Pak Eko,gunadarma,-6.36033,106.84373,"椰浆饭 Nasi Uduk, Warteg 家常菜",target,,,,,,
w035,Warkop Pak Agus,gunadarma,-6.35497,106.84384,"零食, 果汁 Jus, 椰浆饭 Nasi Uduk",target,,,,,,
w036,Warteg Mbak Rina,gunadarma,-6.36015,106.84289,"零食, 椰浆饭 Nasi Uduk, Indomie 煮面",target,,,,,,
w037,Warung Kopi Bu Lasmi II,gunadarma,-6.3602,106.84302,"果汁 Jus, 粥品",target,,,,,,
w038,Kios Makmur Cabang,gunadarma,-6.35489,106.83947,"炒饭 Nasi Goreng, Nasi Padang",target,,,,,,
w039,Kedai Bang Rizal,gunadarma,-6.35766,106.84605,"Indomie 煮面, 椰浆饭 Nasi Uduk, 零食",target,,,,,,
w040,Warung Kopi Bu Tini Cabang,gunadarma,-6.35398,106.84496,"Warteg 家常菜, Indomie 煮面",target,,,,,,
w041,Warung Pak Herman,gunadarma,-6.35996,106.84203,"粥品, 果汁 Jus",contacted,,,,,,
w042,Kios Bang Ilham,gunadarma,-6.36119,106.84055,"粥品, 咖啡",target,,,,,,
w043,Depot Pak Bambang,gunadarma,-6.35732,106.8409,"Warteg 家常菜, Nasi Padang",target,,,,,,
w044,Kedai Pak Teguh,gunadarma,-6.3558,106.83775,"粥品, 零食",target,,,,,,
w045,Warteg Kamboja,gunadarma,-6.35619,106.84439,"椰浆饭 Nasi Uduk, 零食",target,,,,,,
w046,Toko Kelontong Bu Ratna,gunadarma,-6.35706,106.84093,"零食, 炒饭 Nasi Goreng, 炸物 Gorengan",target,,,,,,
w047,Depot Bu Ratna,gunadarma,-6.35857,106.84193,"冰茶, 咖啡, 果汁 Jus",target,,,,,,
w048,Warkop Berkah,gunadarma,-6.35833,106.84042,"炒饭 Nasi Goreng, 冰茶, 零食",target,,,,,,
w049,Warteg Bang Fajar,gunadarma,-6.36223,106.847,零食,negotiating,,,,,,
