id,name,university_id,lat,lng,categories,status,owner_name,whatsapp,signed_date,weekly_orders,notes,last_visit
w001,Warung Bu Sari,ui,-6.3612,106.8245,"Indomie 煮面, 咖啡",active,,,,,,
w002,Warteg Bahari,ui,-6.3643,106.829,"Warteg 家常菜, 冰茶",signed,,,,,,
w003,Kedai Kopi Keliling,ui,-6.3598,106.8289,"咖啡, 零食",negotiating,,,,,,
w004,Warung Nasi Padang Sederhana,ui,-6.365,106.824,Nasi Padang,negotiating,,,,,,
w005,Kantin Sehat Melati,ui,-6.3619,106.8302,"零食, 冰茶",contacted,,,,,,
w006,Warung Makan Berkah,gunadarma,-6.3561,106.8412,"Warteg 家常菜, 炸物 Gorengan",signed,,,,,,
w007,Warteg Barokah,gunadarma,-6.3588,106.8443,Warteg 家常菜,contacted,,,,,,
w008,Kedai Kopi Kangen,gunadarma,-6.3555,106.845,"咖啡, 炸物 Gorengan",target,,,,,,
w009,Warung Gultik Pagi,gunadarma,-6.359,106.84,Indomie 煮面,target,,,,,,
w010,Warung Nasi Uduk Ibu Tini,pnj,-6.3705,106.822,"冰茶, 炸物 Gorengan",contacted,,,,,,
w011,Kedai Gorengan Ceria,pnj,-6.3731,106.8252,炸物 Gorengan,target,,,,,,
w012,Warteg Sederhana Margonda,pnj,-6.37,106.826,Warteg 家常菜,target,,,,,,
w013,Kedai Kopi Balai,pnj,-6.373,106.821,咖啡,target,,,,,,
w014,Warung Mie Ayam Jaya,unj,-6.192,106.8805,"Indomie 煮面, 零食",contacted,,,,,,
w015,Warteg Rawamangun,unj,-6.1948,106.8835,Warteg 家常菜,target,,,,,,
w016,Kedai Es Teh Segar,unj,-6.1918,106.884,冰茶,target,,,,,,
w017,Warung Bubur Ayam Barito,unj,-6.195,106.8795,粥品,target,,,,,,
w018,Warung Nasi Goreng Pakde,binus,-6.2005,106.7805,"炸物 Gorengan, 冰茶",target,,,,,,
w019,Kedai Kopi Kemanggisan,binus,-6.2035,106.7835,咖啡,target,,,,,,
w020,Warteg Asri,binus,-6.2002,106.784,Warteg 家常菜,target,,,,,,
w021,Warung Soto Betawi H. Mamat,binus,-6.2038,106.78,"粥品, 冰茶",target,,,,,,
w022,Warung Tegal Makmur,trisakti,-6.1662,106.7875,Warteg 家常菜,target,,,,,,
w023,Kedai Roti Bakar Malam,trisakti,-6.169,106.7908,"零食, 咖啡",target,,,,,,
w024,Warung Ayam Geprek Lava,trisakti,-6.1658,106.7912,炸物 Gorengan,target,,,,,,
w025,Es Kelapa Muda Ceria,trisakti,-6.1692,106.7868,冰茶,target,,,,,,
